id,hebrew,new_text,note
"App.90b6d9","החיבור אבד — מתחברים מחדש...","",""
"App.eadb7e","היריב התנתק — ממתין לחיבור מחדש...","",""
"App.ee7958","העתקת הקוד","","Screen reader only (aria-label on the room code)"
"App.868aae","הקוד הועתק ✅","",""
"App.fa3f2a","חזרה למזנון הכנסת","",""
"App.ea5cb4","מכינים את המשחק...","","Barely seen — a bot room leaves the lobby almost immediately"
"App.d2bdf3","ממתין לצד השני...","",""
"App.271a7b","שיתוף בוואטסאפ","",""
"App.ac8e71","שלחו את הקוד הזה לצד השני:","",""
"BoardGrid.0bb4dc","הופה! הפלת את היריב שלך בפח","",""
"BoardGrid.506912","מלכודת! נפלת בתרגיל פוליטי","",""
"ExitButton.acecb2","פרישה","",""
"FightSequence.2b7882","ניצחון לאופוזיציה","",""
"FightSequence.4b3a24","ניצחון לקואליציה","",""
"GameBoard.57d6b0","התור שלך","",""
"GameBoard.3ee5a3","לפרוש מהחיים הפוליטיים?","",""
"GameBoard.350eff","קרב הכרעה!","",""
"GameBoard.9f9c1c","תור ${turnTheme.label}","",""
"GameOverScreen.e0df0d","🔁 סבב נוסף?","",""
"GameOverScreen.9ac6b0","${theme.label} מצאו את המלך ולקחו את הבחירות","",""
"GameOverScreen.c842a8","היריב שלך פרש מהחיים הפוליטיים","",""
"GameOverScreen.6d8767","העפת את המלך מכיסא השלטון וניצחת בבחירות","",""
"GameOverScreen.46fe17","הפסדתם","",""
"GameOverScreen.5dc458","ליריב שלך אין יותר אפשרויות לזוז","",""
"GameOverScreen.bdf6ab","סונדלת, אין לך יותר אפשרויות לזוז","",""
"GameOverScreen.e4d44b","קולולו! ניצחת","",""
"HomeScreen.92d0d1","אבניהו - מהדורת בחירות 2026","","Screen reader only (logo alt text)"
"HomeScreen.fbff31","או","",""
"HomeScreen.4f50d9","אודות","",""
"HomeScreen.03c757","איך משחקים?","",""
"HomeScreen.f1ec45","באיזה גוש אתם?","",""
"HomeScreen.671165","ביחד נכסח!","",""
"HomeScreen.029be1","המשחק נוצר על ידי עמרי דרבסקי","",""
"HomeScreen.abc5ee","הצטרפות","",""
"HomeScreen.4259cd","כל הזכויות שמורות לעמרי דרבסקי ©","",""
"HomeScreen.a2e97a","משחק מול בוט","",""
"HomeScreen.14c1a0","משחק מול חבר","",""
"HomeScreen.694790","נמאס מסבבי בחירות אינסופיים בלי הכרעה? אבניהו - מהדורת בחירות 2026 הוא משחק אסטרטגיה סאטירי בהשראת הפוליטיקה הישראלית, המשלב אבן-נייר-מספריים קלאסי עם טקטיקה על לוח, כדי שנוכל להכריע אחת ולתמיד מי ייקח את הבחירות – הקואליציה או האופוזיציה.","",""
"HomeScreen.f8f487","קוד משחק","",""
"HowToPlayModal.07da84","אבן","",""
"HowToPlayModal.deea33","הארסנל שלך","",""
"HowToPlayModal.3e65e0","המטרה","",""
"HowToPlayModal.45ad2d","המלך:","",""
"HowToPlayModal.488a08","הצבא שלך, חברי הגוש שלך חמושים באבן, נייר או מספריים.","",""
"HowToPlayModal.c8825e","חוקי המשחק","",""
"HowToPlayModal.b3dee3","למצוא את המלך של הצד השני, להעיף אותו מהשלטון ולנצח בבחירות.","",""
"HowToPlayModal.4a2253","מי מנצח את מי","",""
"HowToPlayModal.7951be","מלכודת:","",""
"HowToPlayModal.0612f7","ממוקם על הלוח בתחילת המשחק. תגן עליו טוב-טוב, כי בלעדיו הלך עליך.","",""
"HowToPlayModal.5e718e","מספריים","",""
"HowToPlayModal.d7d62b","מקמו אותה על הלוח בתחילת המשחק. היריב דורך עליה? הפוליטיקאי שלו הולך הביתה ברגע.","",""
"HowToPlayModal.3d86dd","נייר","",""
"HowToPlayModal.f866f9","נייר מנצח אבן מנצח מספריים מנצח נייר.","",""
"HowToPlayModal.49e4cd","נייר מנצח אבן, אבן מנצחת מספריים, ומספריים מנצחים נייר","",""
"HowToPlayModal.552471","סגור","","Screen reader only (aria-label on the modal's X)"
"HowToPlayModal.971c64","סוף המשחק: המלך שלך נתפס? נתקעת בלי שום צעד חוקי לבצע? הפסדת את הבחירות.","",""
